h1|h2|h3|ind|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Abstentzioa"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Boto baliogabeak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Boto zuriak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Boto-emaileen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Abstentzioaren %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Boto baliogabeen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Boto zurien %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: EAJ-PNVren botoen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: PSE-EE/PSOEren botoen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: PPren botoen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: EAE-ANVren botoen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: BILDUren botoen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Beste batzuei emandako botoen %"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: EAJ-PNVren zinegotziak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: PSE-EE/PSOEren zinegotziak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: PPren zinegotziak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: EAE-ANVren zinegotziak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: BILDUren zinegotziak"|
"Hauteskundeak"|"Udal hauteskundeak"|"-"|"Udal hauteskundeak: Beste alderdien zinegotziak"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Hautes-errolda"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Botoak"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Abstentzioa"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Boto baliogabeak"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Boto zuriak"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Kandidaturen botoak"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Boto-emaileen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Abstentzioaren %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Boto baliogabeen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Boto zurien %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Kandidaturen botoen%"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: EAJ-PNVren botoen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: PSE-EE/PSOEren botoen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: PPren botoen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: EH BILDUren botoen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: PODEMOS/AHAL DUGU-IUren botoen %"|
"Hauteskundeak"|"Kongresuko hauteskundeak"|"-"|"Kongresuko hauteskundeak: Beste batzuei emandako botoen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Hautesle-errolda"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Botoak"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Abstentzioak"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Boto Baliogabeak"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Boto Zuriak"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Hautagaitzen Botoak"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Boto-emaileen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Abstentzio %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Boto Baliogabeen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Boto Zurien %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Hautagaitzen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: EAJ-PNVren botoen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: PSE-EE/PSOEren botoen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: PPren botoen %"|
"Hauteskundeak"|"Senaturako hauteskundeak"|"-"|"Senaturako hauteskundeak: Beste batzuen botoen %"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Pentsioak indarrean"|"-"|"Erretiro-pentsioak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Pentsioak indarrean"|"-"|"Alarguntasun-pentsioak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Pentsioak indarrean"|"-"|"Ezintasun iraunkorragatiko pentsioak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Pentsioak indarrean"|"-"|"Umezurtz-pentsioak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Pentsioak indarrean"|"-"|"Familiaren aldeko pentsioak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Bide-segurtasuna"|"-"|"Udalerrian harrapatutako oinezkoak eta Ertzaintzak erregistratuak 10.000 biztanleko"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Bide-segurtasuna"|"-"|"Udalerrian Ertzaintzak erregistratutako istripuak (‰ biztanleko)"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Ekipamendua2"|"-"|"Udaltzain kopurua (‰ biztanleko)"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Txirotasun arriskua"|"-"|"Txirotasun arriskuan dauden familiak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Txirotasun arriskua"|"-"|"Familien txirotasun arrisku tasa"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Txirotasun arriskua"|"-"|"Txirotasun arriskuan dauden pertsonak"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Txirotasun arriskua"|"-"|"Pertsonen txirotasun arrisku tasa"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Diru-laguntzen hartzaileak"|"-"|"Oinarrizko errentaren hartzaileak (‰ biz)"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Diru-laguntzen hartzaileak"|"-"|"Gizarte larrialdietarako laguntzen hartzaileak (‰ biztanleko)"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Diru-laguntzen hartzaileak"|"-"|"Kotizazio gabeko pentsioen hartzaileak (‰ biztanleko)"|
"Gizarte babesa eta Herritarren Segurtasuna"|"Delituak"|"-"|"Delitu kopurua (‰ biztanleko)"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak Orotara"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren arabera: Gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren arabera: Emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sektoreko: Nekazaritza"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sektoreko: Industria"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sektoreko: Eraikuntza"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sektoreko: Zerbitzuak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak adinaren arabera: <25 urte"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak adinaren arabera: <30 urte"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak adinaren arabera: 25-44 urte artekoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak adinaren arabera: 45 urteko eta gehiagoko langabetuak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 25 urtetik beherako gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 30 urtetik beherako gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 25-44 urte arteko gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 45 urteko eta gehiagoko gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 25 urtetik beherako emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 30 urtetik beherako emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 25-44 urte arteko emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sexuaren eta adin taldearen arabera: 45 urteko eta gehiagoko emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuak sektoreko: aurreko enplegurik gabe"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabezia tasa"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Gizonezkoen langabezia tasa"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Emakumezkoen langabezia tasa"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren arabera: Gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren arabera: Emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sektoreko: Nekazaritza"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sektoreko: Industria"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sektoreko: Eraikuntza"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sektoreko: Zerbitzuak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sektoreko: Aurreko enplegurik gabe"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % adinaren arabera: <25 urte"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % adinaren arabera: <30 urte"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % adinaren arabera: 25-44 urte artekoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % adinaren arabera: 45 urtetik gorakoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 25 urtetik beherako gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 30 urtetik beherako gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 25-44 urte arteko gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 45 urtetik gorako gizonezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 25 urtetik beherako emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 30 urtetik beherako emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 25-44 urte arteko emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Langabetuen % sexuaren eta adin taldearen arabera: 45 urtetik gorako emakumezkoak"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Crecimiento mensual del paro registrado"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Crecimiento anual del paro registrado"|
"Lan merkatua"|"Langabezia"|"Jasotako langabezia"|"Proporción de parados sobre la población de 16 a 64 años"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Enpresa Zuzendaritza eta Administrazio Publikoak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Teknikari eta profesional zientifiko eta intelektualak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Laguntzako teknikariak eta profesionalak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Administrariak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Jatetxeetako, zerbitzu pertsonaletako eta babes-zerbitzuetako langileak eta dendetako saltzaileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Nekazaritzako eta arrantzako langile kualifikatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Artisauak eta manufaktura-industrietako, eraikuntzako eta meatzaritzako langile kualifikatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Instalazioetako eta makinetako eragileak, muntatzaileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Berezitasunik gabeko langileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetuak: Indar armatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak:Enpresa Zuzendaritza eta Administrazio Publikoak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Teknikari eta profesional zientifiko eta intelektualak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Laguntzako teknikariak eta profesionalak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Administrariak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Jatetxeetako, zerbitzu pertsonaletako eta babes-zerbitzuetako langileak eta dendetako saltzaileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Nekazaritzako eta arrantzako langile kualifikatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Artisauak eta manufaktura-industrietako, eraikuntzako eta meatzaritzako langile kualifikatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Instalazioetako eta makinetako eragileak, muntatzaileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Berezitasunik gabeko langileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu gizonezkoak: Indar armatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak:Enpresa Zuzendaritza eta Administrazio Publikoak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Teknikari eta profesional zientifiko eta intelektualak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Laguntzako teknikariak eta profesionalak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Administrariak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Jatetxeetako, zerbitzu pertsonaletako eta babes-zerbitzuetako langileak eta dendetako saltzaileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Nekazaritzako eta arrantzako langile kualifikatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Artisauak eta manufaktura-industrietako, eraikuntzako eta meatzaritzako langile kualifikatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Instalazioetako eta makinetako eragileak, muntatzaileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Berezitasunik gabeko langileak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu eta lanbidearen arabera"|"Langabetu emakumezkoak: Indar armatuak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: 1. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: 2. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak: Bestelako ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: 1. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: 2. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak: Bestelako ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: 1. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: 2. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak: Bestelako ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: 1. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: 2. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 25 urte: Bestelako ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: 1. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: 2. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu gizonezkoak < 25 urte: Bestelako ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte:Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: 1. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: 2. zikloko ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetu emakumezkoak < 25 urte: Bestelako ikasketa unibertsitarioak"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: Alfabetatu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: Lehen mailako ikasketak amaitu gabe"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: Lehen mailako ikasketen ziurtagiria"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: Erdi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: DBH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: Goi mailako LH"|
"Lan merkatua"|"Langabezia"|"Langabetuak sexu, adin eta ikasketa mailaren arabera"|"Langabetuak < 30 urte: 1. zikloko ikasketa unibertsitarioak"|
